"Feature","Outlier_Index","Outlier_Value","Deviation"
"GDP_Per_Capita",55,76745,2992.75
"GDP_Per_Capita",70,107641,33888.75
"GDP_Per_Capita",97,128647,54894.75
"GDP_Per_Capita",99,94105,20352.75
"Population_Density",9,1239.58,839.51795
"Population_Density",10,666.607,266.54495
"Population_Density",52,454.938,54.87595
"Population_Density",56,410.527,10.46495
"Population_Density",65,669.494,269.43195
"Population_Density",74,1718.99,1318.92795
"Population_Density",76,1511.03,1110.96795
"Population_Density",78,623.302,223.23995
"Population_Density",87,511.458,111.39595
"Population_Density",99,7953,7552.93795
"Suicide_Rate",11,26.2,2.1
"Suicide_Rate",48,29.2,5.1
"Suicide_Rate",69,31.9,7.8
"Deaths_From_Smoking",4,51911.52,1330.02899999999
"Deaths_From_Smoking",9,90795.06,40213.569
"Deaths_From_Smoking",18,167657.3,117075.809
"Deaths_From_Smoking",27,2197653,2147071.509
"Deaths_From_Smoking",39,79002.38,28420.889
"Deaths_From_Smoking",42,141530.8,90949.309
"Deaths_From_Smoking",52,894371.5,843790.009
"Deaths_From_Smoking",53,227477.4,176895.909
"Deaths_From_Smoking",57,84848.16,34266.669
"Deaths_From_Smoking",59,200016,149434.509
"Deaths_From_Smoking",79,51575.45,993.958999999995
"Deaths_From_Smoking",84,68091.87,17510.379
"Deaths_From_Smoking",93,128588.5,78007.009
"Deaths_From_Smoking",95,93737.16,43155.669
"Deaths_From_Smoking",103,63968.59,13387.099
"Deaths_From_Smoking",106,77090.42,26508.929
"Deaths_From_Smoking",107,86358.1,35776.609
"COVID_19_Cases_Mar_20_2021",4,22265753,21059062
"COVID_19_Cases_Mar_20_2021",18,11780820,10574129
"COVID_19_Cases_Mar_20_2021",28,2319293,1112602
"COVID_19_Cases_Mar_20_2021",39,4241973,3035282
"COVID_19_Cases_Mar_20_2021",42,2639258,1432567
"COVID_19_Cases_Mar_20_2021",52,11514331,10307640
"COVID_19_Cases_Mar_20_2021",53,1443853,237162
"COVID_19_Cases_Mar_20_2021",57,3306711,2100020
"COVID_19_Cases_Mar_20_2021",79,2182188,975497
"COVID_19_Cases_Mar_20_2021",102,1533961,327270
"COVID_19_Cases_Mar_20_2021",103,3212332,2005641
"COVID_19_Cases_Mar_20_2021",106,2950603,1743912
"COVID_19_Deaths_Mar_20_2021",4,54386,32746.75
"COVID_19_Deaths_Mar_20_2021",12,22624,984.75
"COVID_19_Deaths_Mar_20_2021",18,287499,265859.75
"COVID_19_Deaths_Mar_20_2021",23,22576,936.75
"COVID_19_Deaths_Mar_20_2021",26,21988,348.75
"COVID_19_Deaths_Mar_20_2021",28,61636,39996.75
"COVID_19_Deaths_Mar_20_2021",39,91833,70193.75
"COVID_19_Deaths_Mar_20_2021",42,74402,52762.75
"COVID_19_Deaths_Mar_20_2021",52,159370,137730.75
"COVID_19_Deaths_Mar_20_2021",53,39142,17502.75
"COVID_19_Deaths_Mar_20_2021",57,103855,82215.75
"COVID_19_Deaths_Mar_20_2021",79,196606,174966.75
"COVID_19_Deaths_Mar_20_2021",96,167173,145533.75
"COVID_19_Deaths_Mar_20_2021",98,21877,237.75
"COVID_19_Deaths_Mar_20_2021",102,51724,30084.75
"COVID_19_Deaths_Mar_20_2021",103,72910,51270.75
"COVID_19_Deaths_Mar_20_2021",106,29777,8137.75
